Final_watersite,latitude,longitude,date,Standard_ID,bio,time,pp_oneweek,temp_modis,UTM_Easting,UTM_Northing,elev,flow_acc,TPI,SS,NDVI_q90_t,Site.type,bio_pres,pop_rate_change,facebook_pop,forest_loss_pixels,Final_wate,start_date,end_date,prop_water,prop_trees,prop_grass,prop_flooded_vegetation,prop_crops,prop_shrub_and_scrub,prop_built,prop_bare,prop_snow_and_ice
LUKUNGA 1,-5.41457401,14.4875196,29/08/2020,DRC-CS001,0,10:26:00.000+01:00,0,33.47434783,443225.7732,9401485.067,345.9590759,2.382985039,8.983329087,0.03,0.795037584,River,0,-0.007605764,90.70635,2,LUKUNGA 1,01/05/2020,01/12/2020,0.028333866,0.482315318,0,0.00134314,0.000959386,0.474384394,0,0.012663895,0
LUKUNGA 1,-5.41461455,14.48751417,05/09/2020,DRC-CS001,0,09:41:00.000+01:00,0,35.21521739,443225.1754,9401480.585,345.9590759,2.382985039,8.983329087,0.03,0.777051526,River,0,-0.007605764,90.70635,2,LUKUNGA 1,01/05/2020,01/12/2020,0.028333866,0.482315318,0,0.00134314,0.000959386,0.474384394,0,0.012663895,0
LUKUNGA 1,-5.41463531,14.48753022,13/09/2020,DRC-CS001,0,08:17:00.000+01:00,0,36.50333333,443226.9555,9401478.291,345.9590759,2.382985039,8.983329087,0.03,0.759320203,River,0,-0.007605764,90.70635,2,LUKUNGA 1,01/05/2020,01/12/2020,0.028333866,0.482315318,0,0.00134314,0.000959386,0.474384394,0,0.012663895,0
LUKUNGA 1,-5.41456524,14.48748617,25/09/2020,DRC-CS001,4,08:55:00.000+01:00,3.590261519,36.05333333,443222.0688,9401486.033,345.9590759,2.382985039,8.983329087,0.03,0.758193776,River,1,-0.007605764,90.70635,2,LUKUNGA 1,01/05/2020,01/12/2020,0.028333866,0.482315318,0,0.00134314,0.000959386,0.474384394,0,0.012663895,0
LUKUNGA 1,-5.41458885,14.487488,10/10/2020,DRC-CS001,3,10:16:00.000+01:00,48.11715794,34.40428571,443222.2737,9401483.423,345.9590759,2.382985039,8.983329087,0.03,0.756785741,River,1,-0.007605764,90.70635,2,LUKUNGA 1,01/05/2020,01/12/2020,0.028333866,0.482315318,0,0.00134314,0.000959386,0.474384394,0,0.012663895,0
LUKUNGA 1,-5.4146376,14.48746301,17/10/2020,DRC-CS001,0,10:42:00.000+01:00,40.05655098,33.76428571,443219.5097,9401478.032,345.9590759,2.382985039,8.983329087,0.03,0.756128659,River,0,-0.007605764,90.70635,2,LUKUNGA 1,01/05/2020,01/12/2020,0.028333866,0.482315318,0,0.00134314,0.000959386,0.474384394,0,0.012663895,0
LUKUNGA 1,-5.41464003,14.48756298,14/11/2020,DRC-CS001,0,08:56:00.000+01:00,21.20503521,31.60703704,443230.5853,9401477.773,345.9590759,2.382985039,8.983329087,0.03,0.753500328,River,0,-0.007605764,90.70635,2,LUKUNGA 1,01/05/2020,01/12/2020,0.028333866,0.482315318,0,0.00134314,0.000959386,0.474384394,0,0.012663895,0
LUKUNGA 1,-5.41461915,14.48746147,22/11/2020,DRC-CS001,0,08:02:00.000+01:00,44.62062216,31.16851852,443219.3374,9401480.071,345.9590759,2.382985039,8.983329087,0.03,0.752749376,River,0,-0.007605764,90.70635,2,LUKUNGA 1,01/05/2020,01/12/2020,0.028333866,0.482315318,0,0.00134314,0.000959386,0.474384394,0,0.012663895,0
LUKUNGA 1,-5.41446589,14.48756655,08/12/2020,DRC-CS001,0,09:29:00.000+01:00,58.11684513,30.60027027,443230.9645,9401497.023,345.9590759,2.382985039,8.983329087,0.03,0.736287405,River,0,-0.007605764,90.70635,2,LUKUNGA 1,01/12/2020,01/07/2021,0,0.947009914,0.041381516,0,0.002302526,0.009178126,0,0.000127918,0
LUKUNGA 1,-5.41461823,14.48743123,19/12/2020,DRC-CS001,0,08:49:00.000+01:00,83.01638317,30.42189189,443215.9871,9401480.17,345.9590759,2.382985039,8.983329087,0.03,0.714684753,River,0,-0.007605764,90.70635,2,LUKUNGA 1,01/12/2020,01/07/2021,0,0.947009914,0.041381516,0,0.002302526,0.009178126,0,0.000127918,0
LUKUNGA 1,-5.41459484,14.48747263,20/12/2020,DRC-CS001,0,08:07:00.000+01:00,67.84609985,30.40567568,443220.5715,9401482.76,345.9590759,2.382985039,8.983329087,0.03,0.712720875,River,0,-0.007605764,90.70635,2,LUKUNGA 1,01/12/2020,01/07/2021,0,0.947009914,0.041381516,0,0.002302526,0.009178126,0,0.000127918,0
LUKUNGA 1,-5.41456944,14.48747615,26/12/2020,DRC-CS001,0,09:30:00.000+01:00,48.920187,30.30837838,443220.9591,9401485.568,345.9590759,2.382985039,8.983329087,0.03,0.70093761,River,0,-0.007605764,90.70635,2,LUKUNGA 1,01/12/2020,01/07/2021,0,0.947009914,0.041381516,0,0.002302526,0.009178126,0,0.000127918,0
LUKUNGA 1,-5.41454918,14.48753828,01/01/2021,DRC-CS001,0,08:11:00.000+01:00,58.82525635,30.21108108,443227.8404,9401487.813,345.9590759,2.382985039,8.983329087,0.03,0.689154345,River,0,-0.007605764,90.70635,27,LUKUNGA 1,01/12/2020,01/07/2021,0,0.947009914,0.041381516,0,0.002302526,0.009178126,0,0.000127918,0
LUKUNGA 1,-5.4146099,14.48747972,11/01/2021,DRC-CS001,0,09:00:00.000+01:00,16.57802773,29.89666667,443221.3584,9401481.095,345.9590759,2.382985039,8.983329087,0.03,0.669515571,River,0,-0.007605764,90.70635,27,LUKUNGA 1,01/12/2020,01/07/2021,0,0.947009914,0.041381516,0,0.002302526,0.009178126,0,0.000127918,0
LUKUNGA 1,-5.41458859,14.48743946,16/01/2021,DRC-CS001,0,08:31:00.000+01:00,0,29.66333333,443216.8961,9401483.447,345.9590759,2.382985039,8.983329087,0.03,0.659696183,River,0,-0.007605764,90.70635,27,LUKUNGA 1,01/12/2020,01/07/2021,0,0.947009914,0.041381516,0,0.002302526,0.009178126,0,0.000127918,0
LUKUNGA 1,-5.41457173,14.48748482,23/01/2021,DRC-CS001,0,08:24:00.000+01:00,28.61845207,29.33666667,443221.9198,9401485.315,345.9590759,2.382985039,8.983329087,0.03,0.645949041,River,0,-0.007605764,90.70635,27,LUKUNGA 1,01/12/2020,01/07/2021,0,0.947009914,0.041381516,0,0.002302526,0.009178126,0,0.000127918,0
LUKUNGA 1,-5.41459558,14.48749889,30/01/2021,DRC-CS001,0,08:49:00.000+01:00,57.4142313,29.01,443223.4808,9401482.68,345.9590759,2.382985039,8.983329087,0.03,0.647046484,River,0,-0.007605764,90.70635,27,LUKUNGA 1,01/12/2020,01/07/2021,0,0.947009914,0.041381516,0,0.002302526,0.009178126,0,0.000127918,0
LUKUNGA 1,-5.41455996,14.48742787,07/02/2021,DRC-CS001,0,08:14:00.000+01:00,34.43056488,28.63666667,443215.6095,9401486.611,345.9590759,2.382985039,8.983329087,0.03,0.670921026,River,0,-0.007605764,90.70635,27,LUKUNGA 1,01/12/2020,01/07/2021,0,0.947009914,0.041381516,0,0.002302526,0.009178126,0,0.000127918,0
LUKUNGA 1,-5.41457712,14.48736853,13/02/2021,DRC-CS001,0,07:27:00.000+01:00,34.67389679,28.35666667,443209.037,9401484.709,345.9590759,2.382985039,8.983329087,0.03,0.688826932,River,0,-0.007605764,90.70635,27,LUKUNGA 1,01/12/2020,01/07/2021,0,0.947009914,0.041381516,0,0.002302526,0.009178126,0,0.000127918,0
LUKUNGA 1,-5.41454111,14.48747991,21/02/2021,DRC-CS001,0,08:49:00.000+01:00,23.44481015,27.10185185,443221.373,9401488.7,345.9590759,2.382985039,8.983329087,0.03,0.712701474,River,0,-0.007605764,90.70635,27,LUKUNGA 1,01/12/2020,01/07/2021,0,0.947009914,0.041381516,0,0.002302526,0.009178126,0,0.000127918,0
LUKUNGA 1,-5.41455931,14.48753664,28/02/2021,DRC-CS001,0,08:20:00.000+01:00,48.15643787,25.8937037,443227.6596,9401486.693,345.9590759,2.382985039,8.983329087,0.03,0.733591698,River,0,-0.007605764,90.70635,27,LUKUNGA 1,01/12/2020,01/07/2021,0,0.947009914,0.041381516,0,0.002302526,0.009178126,0,0.000127918,0
LUKUNGA 1,-5.41457181,14.48759184,28/03/2021,DRC-CS001,0,08:47:00.000+01:00,24.72912836,28.67105263,443233.7762,9401485.317,345.9590759,2.382985039,8.983329087,0.03,0.794868922,River,0,-0.007605764,90.70635,27,LUKUNGA 1,01/12/2020,01/07/2021,0,0.947009914,0.041381516,0,0.002302526,0.009178126,0,0.000127918,0
LUKUNGA 1,-5.41459484,14.48752787,04/04/2021,DRC-CS001,0,08:04:00.000+01:00,42.73801756,29.79769231,443226.6913,9401482.765,345.9590759,2.382985039,8.983329087,0.03,0.802906262,River,0,-0.007605764,90.70635,27,LUKUNGA 1,01/12/2020,01/07/2021,0,0.947009914,0.041381516,0,0.002302526,0.009178126,0,0.000127918,0
LUKUNGA 1,-5.41456399,14.48751401,28/04/2021,DRC-CS001,0,09:38:00.000+01:00,55.30130911,29.454,443225.153,9401486.174,345.9590759,2.382985039,8.983329087,0.03,0.832275742,River,0,-0.007605764,90.70635,27,LUKUNGA 1,01/12/2020,01/07/2021,0,0.947009914,0.041381516,0,0.002302526,0.009178126,0,0.000127918,0
LUKUNGA 1,-5.41459742,14.48743248,29/04/2021,DRC-CS001,0,07:17:00.000+01:00,63.18664551,29.902,443216.1237,9401482.471,345.9590759,2.382985039,8.983329087,0.03,0.837898177,River,0,-0.007605764,90.70635,27,LUKUNGA 1,01/12/2020,01/07/2021,0,0.947009914,0.041381516,0,0.002302526,0.009178126,0,0.000127918,0
