root_id,Standard_ID,start_date,end_date
DRC-CS001,DRC-CS001,2020-08-29,2022-08-26
DRC-CS002,DRC-CS002A,2020-09-30,2021-01-17
DRC-CS002,DRC-CS002B,2021-01-01,2022-08-30
DRC-CS003,DRC-CS003,2020-10-05,2022-08-28
DRC-CS004,DRC-CS004,2020-09-16,2022-08-24
DRC-CS005,DRC-CS005,2020-08-16,2022-08-20
DRC-CS006,DRC-CS006,2020-09-03,2022-08-10
DRC-CS007,DRC-CS007A,2020-09-23,2020-10-14
DRC-CS007,DRC-CS007B,2020-10-17,2022-02-27
DRC-CS007,DRC-CS007C,2022-03-11,2022-08-30
DRC-CS008,DRC-CS008,2020-09-27,2022-06-09
DRC-CS009,DRC-CS009,2020-09-17,2022-07-24
DRC-CS010,DRC-CS010,2020-09-12,2022-09-24
DRC-CS015,DRC-CS015,2020-09-30,2022-08-30
DRC-CS016,DRC-CS016,2020-08-22,2022-08-31
DRC-CS018,DRC-CS018,2020-09-17,2022-06-25
DRC-CS019,DRC-CS019,2020-10-12,2022-03-02
DRC-CS020,DRC-CS020,2020-09-05,2022-08-24
DRC-CS021,DRC-CS021,2020-08-30,2022-06-26
DRC-CS022,DRC-CS022,2020-09-24,2022-07-15
DRC-CS023,DRC-CS023,2020-09-07,2022-07-22
DRC-CS024,DRC-CS024,2022-03-11,2022-06-17
DRC-CS025,DRC-CS025,2020-08-22,2022-02-25
